0
//Index   ItemIndex   RankNumber   RankOption   RankOptionRate   Name                                 Value0   Value1   Value2   Value3   Value4   Value5   Value6   Value7   Value8   Value9   Value10
0         6365        1            1            10000            "Add Elemental Damage"               30       33       38       45       54       65       78       93       113      138      168
10        6365        2            1            2000             "Mul Elemental Damage Vs Fire"       5        6        7        8        9        10       12       14       16       18       20
11        6365        2            2            2000             "Mul Elemental Damage Vs Water"      5        6        7        8        9        10       12       14       16       18       20
12        6365        2            3            2000             "Mul Elemental Damage Vs Earth"      5        6        7        8        9        10       12       14       16       18       20
13        6365        2            4            2000             "Mul Elemental Damage Vs Wind"       5        6        7        8        9        10       12       14       16       18       20
14        6365        2            5            2000             "Mul Elemental Damage Vs Dark"       5        6        7        8        9        10       12       14       16       18       20
20        6365        3            1            5000             "Add Elemental Damage PvP"           30       35       43       54       66       80       97       117      142      172      207
21        6365        3            2            5000             "Add Elemental Damage PvM"           30       35       43       54       66       80       97       117      142      172      207
30        6365        4            1            5000             "Add Elemental Damage Range"         30       35       43       54       66       80       97       117      142      172      207
31        6365        4            2            5000             "Add Elemental Damage Melee"         30       35       43       54       66       80       97       117      142      172      207
40        6365        5            1            5000             "Add Elemental C. D. Rate PvP"       5        6        7        8        9        10       12       14       16       18       20
41        6365        5            2            5000             "Add Elemental C. D. Rate PvM"       5        6        7        8        9        10       12       14       16       18       20
50        6375        1            1            10000            "Add Elemental Defense"              10       13       17       22       28       35       43       52       62       73       85
60        6375        2            1            2000             "Mul Elemental Defense Vs Fire"      5        6        7        8        9        10       12       14       16       18       20
61        6375        2            2            2000             "Mul Elemental Defense Vs Water"     5        6        7        8        9        10       12       14       16       18       20
62        6375        2            3            2000             "Mul Elemental Defense Vs Earth"     5        6        7        8        9        10       12       14       16       18       20
63        6375        2            4            2000             "Mul Elemental Defense Vs Wind"      5        6        7        8        9        10       12       14       16       18       20
64        6375        2            5            2000             "Mul Elemental Defense Vs Dark"      5        6        7        8        9        10       12       14       16       18       20
70        6375        3            1            5000             "Add Elemental Defense PvP"          10       13       17       22       28       35       43       52       62       73       85
71        6375        3            2            5000             "Add Elemental Defense PvM"          10       13       17       22       28       35       43       52       62       73       85
80        6375        4            1            5000             "Add Elemental Defense Range"        10       13       17       22       28       35       43       52       62       73       85
81        6375        4            2            5000             "Add Elemental Defense Melee"        10       13       17       22       28       35       43       52       62       73       85
90        6375        5            1            5000             "Mul Elemental Damage PvP"           5        6        7        8        9        10       12       14       16       18       20
91        6375        5            2            5000             "Mul Elemental Damage PvM"           5        6        7        8        9        10       12       14       16       18       20
100       6385        1            1            10000            "Mul Elemental A. S. Rate"           5        6        7        8        9        10       12       14       16       18       20
110       6385        2            1            2000             "Mul Elemental Damage Vs Fire"       5        6        7        8        9        10       12       14       16       18       20
111       6385        2            2            2000             "Mul Elemental Damage Vs Water"      5        6        7        8        9        10       12       14       16       18       20
112       6385        2            3            2000             "Mul Elemental Damage Vs Earth"      5        6        7        8        9        10       12       14       16       18       20
113       6385        2            4            2000             "Mul Elemental Damage Vs Wind"       5        6        7        8        9        10       12       14       16       18       20
114       6385        2            5            2000             "Mul Elemental Damage Vs Dark"       5        6        7        8        9        10       12       14       16       18       20
120       6385        3            1            5000             "Add Elemental Damage PvP"           30       35       43       54       66       80       97       117      142      172      207
121       6385        3            2            5000             "Add Elemental Damage PvM"           30       35       43       54       66       80       97       117      142      172      207
130       6385        4            1            5000             "Add Elemental Damage Range"         30       35       43       54       66       80       97       117      142      172      207
131       6385        4            2            5000             "Add Elemental Damage Melee"         30       35       43       54       66       80       97       117      142      172      207
140       6385        5            1            5000             "Mul Elemental Damage PvP"           5        7        9        11       13       15       18       21       24       27       30
141       6385        5            2            5000             "Mul Elemental Damage PvM"           5        7        9        11       13       15       18       21       24       27       30
