//====================================================
//
//                 ALLAN JPA ~~ SEASON 14 FULL
//                    SENIOR PROFISSIONAL
// [ WHATSAPP ]     
// [ NUMBER   ]     *22 999518600
// [ URL      ] www.AprendizMuOnline.com.br   
//
//       
//
//=====================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 4"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     4          6          0       0      0        0
13          18     5          7          0       0      0        0
14          28     5          7          0       0      0        0
13          51     2          4          0       0      0        0
end
