//====================================================
//
//                 ALLAN JPA ~~ SEASON 14 FULL
//                    SENIOR PROFISSIONAL
// [ WHATSAPP ]     
// [ NUMBER   ]     *22 999518600
// [ URL      ] www.AprendizMuOnline.com.br   
//
//       
//
//=====================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 5"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
//Mu Chila +5: joias/tickets originais repetidos 5x (~1/3 das aberturas) + equipamento sem o top 4 de cada classe
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     6          7          0       0      0        0
13          18     7          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          6          0       0      0        0
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     6          7          0       0      0        0
13          18     7          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          6          0       0      0        0
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     6          7          0       0      0        0
13          18     7          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          6          0       0      0        0
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     6          7          0       0      0        0
13          18     7          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          6          0       0      0        0
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     6          7          0       0      0        0
13          18     7          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     4          6          0       0      0        0
//DW: sets Dark Devil, Venom Mist | armas Inberial Staff, Chrome Staff
7           55     2          6          0       1      1        0
8           55     2          6          0       1      1        0
9           55     2          6          0       1      1        0
10          55     2          6          0       1      1        0
11          55     2          6          0       1      1        0
7           30     2          6          0       1      1        0
8           30     2          6          0       1      1        0
9           30     2          6          0       1      1        0
10          30     2          6          0       1      1        0
11          30     2          6          0       1      1        0
5           31     2          6          0       1      1        0
5           33     2          6          0       1      1        0
//DK: sets Stormwing, Lazy Wind | armas Cyclone Sword, Sonic Blade
7           74     2          6          0       1      1        0
8           74     2          6          0       1      1        0
9           74     2          6          0       1      1        0
10          74     2          6          0       1      1        0
11          74     2          6          0       1      1        0
7           54     2          6          0       1      1        0
8           54     2          6          0       1      1        0
9           54     2          6          0       1      1        0
10          54     2          6          0       1      1        0
11          54     2          6          0       1      1        0
0           36     2          6          1       1      1        0
0           29     2          6          1       1      1        0
//FE: sets Sticky, Light Lord | armas Angelic Bow, Sylph Wind Bow
7           56     2          6          0       1      1        0
8           56     2          6          0       1      1        0
9           56     2          6          0       1      1        0
10          56     2          6          0       1      1        0
11          56     2          6          0       1      1        0
7           75     2          6          0       1      1        0
8           75     2          6          0       1      1        0
9           75     2          6          0       1      1        0
10          75     2          6          0       1      1        0
11          75     2          6          0       1      1        0
4           25     2          6          1       1      1        0
4           21     2          6          1       1      1        0
//MG: sets Hell Night, Magic Knight | armas Explosion Blade, Rune Bastard Sword
8           57     2          6          0       1      1        0
9           57     2          6          0       1      1        0
10          57     2          6          0       1      1        0
11          57     2          6          0       1      1        0
8           76     2          6          0       1      1        0
9           76     2          6          0       1      1        0
10          76     2          6          0       1      1        0
11          76     2          6          0       1      1        0
0           23     2          6          1       1      1        0
0           28     2          6          1       1      1        0
//DL: sets Ambition, Sunlight | armas Striker Scepter, Great Lord Scepter
7           58     2          6          0       1      1        0
8           58     2          6          0       1      1        0
9           58     2          6          0       1      1        0
10          58     2          6          0       1      1        0
11          58     2          6          0       1      1        0
