0
//EventName              DropZen   ItemDropRate ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Protection Of Acheron"	 1000	   100		3		0		  0		 0
end


2
//Section   Type     MinLevel   MaxLevel  Skill	 Luck	Option	Excellent   SetOption   SocketOption  SocketProbalty1  SocketProbalty2  SocketProbalty3  SocketProbalty4  SocketProbalty5
12	    200      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    201      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    202      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    203      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    204      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    205      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    206      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    207      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    208      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    209      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    210      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    211      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    212      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    213      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20
12	    214      0 		0         0	 0	0	0	    0		4	      90		90		80		 50		  20	
end
